euclidean	pearson
FADD	FADD
FAM49B	SPNS1
ADA	ADA
SPNS1	FAM49B
KBTBD8	ATP6V1C1
BCL10	WIPI1
SLC17A5	GRN
GRN	DAB2
RPTOR	HSP90AA1
CALU	SNX16
PRKD1	BCL10
SGSH	SLC17A5
SLC36A1	EDEM3
HSP90AA1	PDCD6
ATP6V1C1	GOLT1A
WIPI1	B4GALT1
SNX16	NEU1
PDCD6	VAMP4
GOLT1A	TOR1B
NEU1	RNF13
TOR1B	SLC15A4
RNF13	ARL8A
SLC15A4	TP53INP2
ARL8A	GABARAPL1
B4GALT1	SYVN1
MAN2B1	KBTBD8
EDEM3	KLHL3
GABARAPL1	SGSH
TP53INP2	SLC36A1
SYVN1	TP53INP1
CES2	NCKAP5L
CLIP2	CLCN6
MBTPS1	PIKFYVE
ZFYVE1	RPTOR
WDR81	KLHL21
LRP1	TNC
KLHL21	SVIL
SVIL	CALU
RNF152	FBN1
KLHL24	COL6A3
SPARCL1	COL6A2
COL14A1	PRKD1
A2M	SPARCL1
TNC	COL14A1
FBN1	A2M
COL6A3	COL21A1
COL6A2	MAN2B1
COL21A1	CLIP2
VAMP4	ZFYVE1
TP53INP1	MBTPS1
PIKFYVE	WDR81
DAB2	LRP1
NCKAP5L	KLHL24
CLCN6	CES2
KLHL3	RNF152
